seq,no.1,table_name,table_comments,column_name,column_comments,DATA_TYPE,position,pk_col,column_id,col_tot
103,9_1,matches_team_stats,팀 단위 집계 데이터,shot_on_target,골 + 유효슈팅,integer,,,5,66
104,9_1,matches_team_stats,팀 단위 집계 데이터,shot_off_target,벗어난 슈팅 + 슛미스,integer,,,6,66
105,9_1,matches_team_stats,팀 단위 집계 데이터,shot_blocked,블락된 슈팅,integer,,,7,66
106,9_1,matches_team_stats,팀 단위 집계 데이터,shot_in_PA,패널티 에어리어 안에서 모든 슈팅,integer,,,8,66
107,9_1,matches_team_stats,팀 단위 집계 데이터,shot_outside_of_PA,패널티 에어리어 밖에서 모든 슈팅,integer,,,9,66
108,9_1,matches_team_stats,팀 단위 집계 데이터,free_kick,프리킥,integer,,,10,66
109,9_1,matches_team_stats,팀 단위 집계 데이터,corner_kick,코너킥,integer,,,11,66
110,9_1,matches_team_stats,팀 단위 집계 데이터,throw_in,스로인,integer,,,12,66
111,9_1,matches_team_stats,팀 단위 집계 데이터,pass,패스 성공 + 패스 실패,integer,,,13,66
112,9_1,matches_team_stats,팀 단위 집계 데이터,pass_succeeded,패스 성공,integer,,,14,66
113,9_1,matches_team_stats,팀 단위 집계 데이터,assist,"""assist"": true인 모든 패스 (= 도움)",integer,,,15,66
114,9_1,matches_team_stats,팀 단위 집계 데이터,key_pass,"""key_pass"": true인 모든 패스 (=키패스)",integer,,,16,66
115,9_1,matches_team_stats,팀 단위 집계 데이터,control_under_pressure,탈 압박,integer,,,17,66
116,9_1,matches_team_stats,팀 단위 집계 데이터,cross,"""cross"": true인 모든 패스 (=크로스)",integer,,,18,66
